Egypt	Brandfy Agency	info@brandfy.net	Direct Employer	To Contact			Country/Region: Egypt; Category: Creative / digital marketing agency; Source: IMG_6882.HEIC; Website/LinkedIn place Brandfy in Cairo, Egypt. Do not put in Dubai.	Needs Manual Check		https://brandfy.net	High	Run company careers/LinkedIn check	2026-06-06
India	Onething Design	people@onething.design	Direct Employer	To Contact			Country/Region: India; Category: UI/UX design agency hiring designers; Source: IMG_7193.HEIC; Design roles; route outside Dubai under India.	Needs Manual Check		https://onething.design	High	Run company careers/LinkedIn check	2026-06-06
Canada	Pfaff Motorsports	jobs@pfaffmotorsports.com	Direct Employer	To Contact			Country/Region: Canada; Category: Direct employer / motorsports; Source: IMG_7207.HEIC; Canadian motorsports employer; not UAE.	Needs Manual Check		https://pfaffmotorsports.com	High	Run company careers/LinkedIn check	2026-06-06
India	Little Green Studio	hr@littlegreenstudio.in	Direct Employer	To Contact			Country/Region: India; Category: Creative / design studio; Source: IMG_7871.HEIC; Indian domain and LinkedIn hiring post.	Needs Manual Check		https://littlegreenstudio.in	High	Run company careers/LinkedIn check	2026-06-06
India	Nikah Forever	career@nikahforever.com	Direct Employer	To Contact			Country/Region: India; Category: Direct employer; Source: IMG_7919.HEIC; India lead; keep WhatsApp in row but not phone-only.	Needs Manual Check		https://nikahforever.com	High	Run company careers/LinkedIn check	2026-06-06
India	Artgripper Studio	hello@artgripper.studio	Direct Employer	To Contact			Country/Region: India; Category: CGI / brand design studio; Source: IMG_7925.HEIC; Official site shows Indian phone number and India work examples.	Needs Manual Check		https://artgripper.studio	High	Run company careers/LinkedIn check	2026-06-06
India	RAD LVNG	talent@radlvng.com	Direct Employer	To Contact			Country/Region: India; Category: Consumer brand / creative role; Source: IMG_9323.HEIC; Official site lists Rad Brands Pvt. Ltd., Noida, India.	Needs Manual Check		https://radlvng.com	High	Run company careers/LinkedIn check	2026-06-06
India	The Ombre	careers@theombre.com	Direct Employer	To Contact			Country/Region: India; Category: Photography / creative studio; Source: IMG_8936.HEIC; Official contact page says Delhi NCR, India.	Needs Manual Check		https://theombre.com	High	Run company careers/LinkedIn check	2026-06-06
India	ASAP Media	contact@asapmedia.co.in	Direct Employer	To Contact			Country/Region: India; Category: Creative studio hiring designer / photographer / content creator; Source: IMG_8495.HEIC; OCR also read spam@asapmedia.co.in; treat that as OCR suspect, use contact@ first.	Needs Manual Check		https://asapmedia.co.in	High	Run company careers/LinkedIn check	2026-06-06
India	Museo Camera	contact@museocamera.org	Direct Employer	To Contact			Country/Region: India; Category: Museum / design or creative role; Source: IMG_9156.HEIC; Official page lists Gurugram, Haryana.	Needs Manual Check		https://museocamera.org	High	Run company careers/LinkedIn check	2026-06-06
India	WebVeda	divyam.chutani@webveda.com	Direct Employer	To Contact			Country/Region: India; Category: Education / content-course company; Source: IMG_9315.HEIC; Official contact page/LinkedIn place WebVeda in Faridabad, India.	Needs Manual Check		https://webveda.com	High	Run company careers/LinkedIn check	2026-06-06
India	Lovedwell	info@lovedwell.com	Direct Employer	To Contact			Country/Region: India; Category: Lifestyle/design studio; Source: IMG_8482.HEIC; Official contact page says Simbuno India Pvt. Ltd., Noida.	Needs Manual Check		https://lovedwell.com	High	Run company careers/LinkedIn check	2026-06-06
India	Social Watch	hr@socialwatch.io	Direct Employer	To Contact			Country/Region: India; Category: Digital marketing / creative agency; Source: IMG_8730.HEIC; Official careers page lists Mohali, Punjab, India.	Needs Manual Check		https://socialwatch.io	High	Run company careers/LinkedIn check	2026-06-06
India	Shell Consultancy	careers@shellconsultancy.com	Agency	To Contact			Country/Region: India; Category: Recruitment / consultancy; Source: IMG_8710.HEIC; LinkedIn hiring posts mention Gurgaon and India roles.	Needs Manual Check		https://shellconsultancy.com	High	Run agency website/LinkedIn check	2026-06-06
India	Orange Corporate Solutions	jobs.orange001@gmail.com	Agency	To Contact			Country/Region: India; Category: HR consultancy / recruiter; Source: IMG_8950.HEIC; Gmail differs from official site email; verify before outreach.	Needs Manual Check		https://orangecorporatesolutions.com	Medium	Run agency website/LinkedIn check	2026-06-06
Spain	Roberto Castano	thephotographer@robertocastano.com	Direct Employer	To Contact			Country/Region: Spain; Category: Photography / creative role; Source: IMG_8475.HEIC; Behance lists Ibiza, Spain; OCR also duplicated uppercase email.	Needs Manual Check		https://robertocastano.com	Medium	Run company careers/LinkedIn check	2026-06-06
China / Global	Transsion recruiter	kai.mao@transsion.com	Agency	To Contact			Country/Region: China / Global; Category: Recruiter contact; Source: IMG_8480.HEIC; Keep outside Dubai unless a UAE role is found.	Needs Manual Check		https://transsion.com	Low	Run agency website/LinkedIn check	2026-06-06
Jordan / MENA	Sitech	alaa@sitech.me	Direct Employer	To Contact			Country/Region: Jordan / MENA; Category: IT services / product design company; Source: IMG_9321.HEIC; LinkedIn places Sitech in Amman, Jordan.	Needs Manual Check		https://sitech.me	High	Run company careers/LinkedIn check	2026-06-06
India / UAE remote	iKonsult Recruitment Solutions	hiring@ikonsult.in	Agency	To Contact			Country/Region: India / UAE remote; Category: Recruitment agency; Source: IMG_8701.HEIC; LinkedIn post mentions remote India/UAE roles.	Needs Manual Check		https://ikonsult.in	High	Run agency website/LinkedIn check	2026-06-06
India	Studio Murb	hey@studiomurb.com	Direct Employer	To Contact			Country/Region: India; Category: Design / marketing studio; Source: IMG_8843.HEIC; Official site has hiring email; India inferred from web presence and projects.	Needs Manual Check		https://studiomurb.com	Medium	Run company careers/LinkedIn check	2026-06-06
